,yaw,yaw deg,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,azimuth ,az deg,acc dot deg,acc cross deg,gyro dot deg
2879,1.788589395,102.4786236,0.633533267,1.490426749,0.633533267,1.490426749,11,-0.1002,4.494595913,257.5213764,36.29878237,36.29878237,85.39516239
2880,2.312282714,132.4840406,0.827933311,0.784394972,0.827933311,0.784394972,14,-0.069,3.970902593,227.5159594,47.43708444,47.43708444,44.94252138
2881,-2.770456473,-158.7354632,1.371769447,2.552966957,1.371769447,0.588625697,52,0.3262,2.770456473,158.7354632,78.59659975,78.59659975,146.2742319
2882,-1.90310712,-109.040006,1.66464666,1.829730324,1.476945993,1.31186233,138,1.2206,1.90310712,109.040006,95.37722801,84.62277199,104.8358252
2883,-0.915615339,-52.46089457,1.556157146,2.399317457,1.556157146,0.742275196,143,1.2726,0.915615339,52.46089457,89.16123672,89.16123672,137.470764
2884,-0.231065325,-13.23906793,1.278155773,2.81825325,1.278155773,0.323339403,66,0.4718,0.231065325,13.23906793,73.23293135,73.23293135,161.4740168
2885,0.629760291,36.0826068,0.876402865,0.76756891,0.876402865,0.76756891,25,0.0454,5.653425016,323.9173932,50.21418532,50.21418532,43.97845903
2886,1.758888474,100.7768862,0.665881457,1.04245953,0.665881457,1.04245953,15,-0.0586,4.524296834,259.2231138,38.15219716,38.15219716,59.72853137
2887,-3.098449895,-177.528102,1.247244303,2.193806775,1.247244303,0.947785878,50,0.3054,3.098449895,177.528102,71.46183459,71.46183459,125.6958693
2888,-1.198617559,-68.67572736,1.661385486,2.079379781,1.480207168,1.062212873,133,1.1686,1.198617559,68.67572736,95.19037648,84.80962352,119.1396855
2889,0.207510221,11.88945984,1.080219536,2.628952728,1.080219536,0.512639926,46,0.2638,6.075675087,348.1105402,61.89202034,61.89202034,150.6278958
2890,2.032943015,116.4790548,0.63163515,1.117912613,0.63163515,1.117912613,24,0.035,4.250242292,243.5209452,36.19002827,36.19002827,64.05167461
2891,1.512861697,86.68059022,0.481667302,1.696825613,0.481667302,1.44476704,15,-0.0586,4.77032361,273.3194098,27.59750354,27.59750354,97.2209462
2892,0.70773199,40.55005608,0.819470849,2.996787952,0.819470849,0.144804702,3,-0.1834,5.575453317,319.4499439,46.95222107,46.95222107,171.7033017
2893,-2.573954619,-147.4767364,1.501275224,1.966690771,1.501275224,1.174901882,42,0.2222,2.573954619,147.4767364,86.01673422,86.01673422,112.6830808
2894,-0.830220064,-47.56810571,1.538451697,1.80641267,1.538451697,1.335179984,98,0.8046,0.830220064,47.56810571,88.14678921,88.14678921,103.499822
2895,-0.935725862,-53.61314266,1.416944052,0.998188291,1.416944052,0.998188291,156,1.4078,0.935725862,53.61314266,81.18491396,81.18491396,57.19197621
2896,0.7803462,44.71054383,0.782218363,1.373517684,0.782218363,1.373517684,65,0.4614,5.502839107,315.2894562,44.81781083,44.81781083,78.69676639
2897,1.591224068,91.17042338,0.507094226,1.2134687,0.507094226,1.2134687,23,0.0246,4.691961239,268.8295766,29.05435898,29.05435898,69.52663506
2898,-0.359156461,-20.57814942,1.318965605,1.960224904,1.318965605,1.18136775,16,-0.0482,0.359156461,20.57814942,75.5711625,75.5711625,112.3126139
2899,-2.91673734,-167.1167395,1.409048047,1.831781752,1.409048047,1.309810902,110,0.9294,2.91673734,167.1167395,80.73250625,80.73250625,104.9533634
2900,1.334293933,76.44941099,0.486582151,1.437383762,0.486582151,1.437383762,52,0.3262,4.948891374,283.550589,27.87910364,27.87910364,82.3560231
2901,0.299280293,17.14749766,0.991474454,2.036672441,0.991474454,1.104920213,24,0.035,5.983905014,342.8525023,56.8073017,56.8073017,116.6927351
2902,0.464696748,26.62516242,0.909491768,1.946782706,0.909491768,1.194809947,13,-0.0794,5.818488559,333.3748376,52.11003981,52.11003981,111.5424327
2903,2.214988231,126.9094773,0.767262146,1.947204932,0.767262146,1.194387722,18,-0.0274,4.068197076,233.0905227,43.96088273,43.96088273,111.5666244
2904,1.833539283,105.0540625,0.616457778,1.895640606,0.616457778,1.245952047,7,-0.1418,4.449646025,254.9459375,35.32042893,35.32042893,108.6122062
2905,0.691756833,39.63474695,0.836114271,2.037593141,0.836114271,1.103999512,6,-0.1522,5.591428475,320.365253,47.90581893,47.90581893,116.7454874
