,yaw,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,accdot deg,azimuth,azi deg
5534,,,1.991840754,,1.149751899,22,0.0142,0,0,0
5535,,,1.377547981,,1.377547981,76,0.5758,0,0,0
5536,0.22723573,1.406924329,2.454319738,1.406924329,0.687272915,21,0.0038,80.61082614,6.055949578,346.9803517
5537,,,2.241438809,,0.900153845,122,1.0542,0,0,0
5538,,,2.361315762,,0.780276892,38,0.1806,0,0,0
5539,2.865701819,0.891895405,1.16763389,0.891895405,1.16763389,37,0.1702,51.10184248,3.417483488,195.8073804
5540,-1.482040643,1.485897795,2.731536171,1.485897795,0.410056483,64,0.451,85.13567244,1.482040643,84.91467389
5541,-0.234784321,1.666667401,2.746719995,1.474925253,0.394872659,57,0.3782,95.49300792,0.234784321,13.45215069
5542,,,2.85913748,,0.282455174,203,1.8966,0,0,0
5543,,,2.356995507,,0.784597146,96,0.7838,0,0,0
5544,2.956054215,1.69909046,2.655504884,1.442502194,0.486087769,37,0.1702,97.35071237,3.327131092,190.6305695
5545,,,2.026901677,,1.114690976,29,0.087,0,0,0
5546,1.686195643,1.047462419,1.237204613,1.047462419,1.237204613,44,0.243,60.01517582,4.596989664,263.3881062
5547,0.71538723,1.408931609,1.853922524,1.408931609,1.28767013,32,0.1182,80.72583481,5.567798077,319.011331
5548,,,1.836387419,,1.305205234,19,-0.017,0,0,0
5549,0.441001566,1.979781264,2.569072112,1.16181139,0.572520542,127,1.1062,113.4331108,5.842183741,334.7324715
5550,,,2.678648617,,0.462944036,98,0.8046,0,0,0
5551,,,2.748386727,,0.393205926,59,0.399,0,0,0
5552,,,2.53143805,,0.610154604,64,0.451,0,0,0
5553,1.395932995,0.709517342,0.881052442,0.709517342,0.881052442,64,0.451,40.6523492,4.887252312,280.0189309
5554,-1.878076512,1.864484807,1.243084288,1.277107847,1.243084288,53,0.3366,106.8271104,1.878076512,107.6058578
5555,-0.959874318,1.785436295,1.669496441,1.356156359,1.472096212,18,-0.0274,102.2979643,0.959874318,54.99674728
5556,-1.029193962,1.583780687,1.647630451,1.557811967,1.493962202,26,0.0558,90.74394904,1.029193962,58.96847031
5557,,,1.057640718,,1.057640718,32,0.1182,0,0,0
5558,-1.3782598,1.846815807,2.257212867,1.294776847,0.884379786,27,0.0662,105.8147513,1.3782598,78.9684696
5559,-0.367660933,0.907200698,2.426394621,0.907200698,0.715198033,82,0.6382,51.97877114,0.367660933,21.06541977
5560,2.310022946,0.449109137,2.245307131,0.449109137,0.896285523,35,0.1494,25.73205807,3.973162361,227.6454346
5561,-0.588698618,2.219335609,0.593714573,0.922257045,0.593714573,62,0.4302,127.1585637,0.588698618,33.72994622
5562,-3.045871594,1.177245952,0.58035838,1.177245952,0.58035838,24,0.035,67.45122449,3.045871594,174.5155873
5563,-1.307939439,1.478366,2.008988844,1.478366,1.13260381,20,-0.0066,84.70413236,1.307939439,74.93940972
5564,-0.158337979,1.78599107,1.915422531,1.355601584,1.226170123,144,1.283,102.3297505,0.158337979,9.072097906
5565,0.309895824,1.374047817,1.826501563,1.374047817,1.315091091,46,0.2638,78.72714077,5.973289484,342.2442772
5566,,,1.960275766,,1.181316887,33,0.1286,0,0,0
5567,0.79299107,1.659828953,1.732241476,1.4817637,1.409351178,32,0.1182,95.10119374,5.490194237,314.5649585
5568,,,2.484255386,,0.657337267,137,1.2102,0,0,0
5569,,,1.247086301,,1.247086301,54,0.347,0,0,0
5570,2.609072346,1.145676827,2.184765877,1.145676827,0.956826776,27,0.0662,65.6424469,3.674112961,210.5111661
5571,,,0.804568926,,0.804568926,24,0.035,0,0,0
5572,,,2.355610861,,0.785981793,22,0.0142,0,0,0
5573,,,0.376253992,,0.376253992,33,0.1286,0,0,0
5574,,,0.324180291,,0.324180291,174,1.595,0,0,0
5575,,,1.027371877,,1.027371877,109,0.919,0,0,0
5576,-0.090504475,1.655393703,1.203637998,1.48619895,1.203637998,109,0.919,94.84707263,0.090504475,5.18552443
5577,,,1.707550243,,1.43404241,39,0.191,0,0,0
5578,0.802444983,1.746108737,1.798652474,1.395483916,1.34294018,43,0.2326,100.0446612,5.480740324,314.0232892
