givenlat,deg,min,sec,lat,long,deg,min,sec,long,seconds,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,mag-x,mag-y,mag-z
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,9,-0.024398315,-0.969505176,-0.04296698,-2.8076192,-0.9307868,13.8702492,5372.170824,-43003.7179,-21536.75754
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,10,-0.047347534,-1.018821582,-0.059568542,-3.7231472,-6.3476608,0.7324224,7615.212774,-41209.28434,-23630.26336
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,12,0.008316528,-1.00612627,-0.03124823,10.0860668,19.760146,27.6794632,4923.562434,-43452.32629,-22284.43819
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,13,0.04396106,-0.996848926,-0.04296698,-3.4027124,-7.7362116,-15.1519884,5521.706954,-41956.96499,-18845.1072
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,14,-0.051742065,-0.964622363,-0.03906073,3.8147,-4.4403108,5.111698,5671.243084,-44499.0792,-22733.04658
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,15,-0.007796753,-0.944114551,0.040040833,2.365114,6.6070604,6.9885304,6418.923734,-44499.0792,-20789.07689
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,16,0.094254028,-0.990012988,-0.049802917,-4.5318636,-0.4425052,-10.1013256,1633.767574,-45396.29598,-19742.32398
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,17,0.093765747,-0.969016895,0.02343927,-8.8043276,-6.4392136,-6.9274952,1334.695314,-42854.18177,-21088.14915
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,18,0.050308716,-0.956809863,-0.076658386,-0.228882,-2.6092548,-71.640066,-11.12985563,-43003.7179,-22284.43819
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,19,0.130875122,-0.964134082,-0.046384949,-0.3967288,-3.6468532,-0.305176,-758.8105056,-41358.82047,-20789.07689
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,20,0.048843872,-1.026145801,-0.008299011,7.3394828,7.5225884,-9.460456,-160.6659856,-43601.86242,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,21,0.046890747,-1.022239551,-0.064939636,1.220704,0.4730228,-5.2490272,1783.303704,-41956.96499,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,22,0.079605591,-0.983177051,-0.060056824,1.983644,5.3863564,13.3667088,-758.8105056,-40611.13982,-23480.72723
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,23,-0.002425659,-1.080833301,-0.117674011,18.6767712,-7.6904352,11.7797936,1932.839834,-42555.10951,-21985.36593
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,24,-0.016585815,-0.988059863,-0.008299011,24.79555,26.4435004,16.9983032,3577.737264,-43601.86242,-22583.51045
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,25,0.076675903,-0.984641895,-0.064451355,7.7514704,2.8076192,8.6517396,2680.520484,-43751.39855,-21237.68528
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,27,0.086441528,-0.898704395,0.020509583,-6.2408492,-7.2937064,-7.4615532,2530.984354,-42854.18177,-21088.14915
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,28,-0.058578003,-0.955833301,-0.042478699,-3.1433128,-10.5896072,5.9661908,4474.954044,-43601.86242,-22882.58271
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,29,-0.005843628,-0.993430957,-0.032713074,-3.4790064,-4.6081576,3.0059836,5222.634694,-43153.25403,-22583.51045
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,30,0.021500122,-1.007591113,-0.006834167,8.5754456,-6.4239548,-9.9487376,2530.984354,-41956.96499,-22134.90206
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,31,0.03614856,-1.000266895,-0.024412292,-2.5482196,-3.6315944,-2.8076192,2830.056614,-43153.25403,-21088.14915
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,32,0.039078247,-1.00612627,-0.029295105,4.1046172,-5.8441204,1.8157972,2530.984354,-44349.54307,-22583.51045
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,33,-0.032210815,-1.018821582,-0.021482605,-2.1972672,-0.9765632,-2.6550312,4175.881784,-42555.10951,-21985.36593
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,34,0.024918091,-0.993919238,0.008790833,-4.5471224,-1.0986336,3.6926296,3428.201134,-44947.68759,-19742.32398
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,35,1.57471E-05,-1.022727832,0.015138489,1.90735,-11.4898764,3.3874536,1334.695314,-43153.25403,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,36,-0.008773315,-0.989036426,-0.006345886,-6.179814,-6.2713668,0.7476812,2830.056614,-44349.54307,-20340.4685
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,37,0.011734497,-0.988059863,0.030275208,-13.0767916,-10.0250316,4.8217808,4026.345654,-43601.86242,-20340.4685
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,38,0.01661731,-1.035423145,-0.013670105,-4.2114288,-10.757454,-16.3726924,2530.984354,-44349.54307,-20639.54076
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,39,0.001968872,-1.044700488,-0.008787292,-10.452278,-8.468634,-15.5029408,2082.375964,-43900.93468,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,40,0.036636841,-1.000266895,-0.024900574,-6.1340376,-3.7689236,9.1400212,3428.201134,-43003.7179,-20789.07689
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,42,0.069839966,-1.005637988,-0.033201355,3.662112,-1.3275156,-1.4801036,1783.303704,-43900.93468,-21088.14915
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,43,0.019058716,-1.013450488,-0.016111511,-0.076294,1.7700208,-8.621222,4774.026304,-43900.93468,-21088.14915
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,44,0.073257935,-0.986106738,-0.020506042,-1.6479504,3.2196068,-1.831056,1633.767574,-43003.7179,-22733.04658
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,45,0.06739856,-1.007102832,-0.029783386,-0.7324224,-1.6937268,10.5438308,736.5507944,-42555.10951,-19742.32398
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,46,0.010757935,-0.999778613,-0.037595886,7.4157768,2.365114,-3.0365012,2530.984354,-45097.22372,-23331.1911
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,47,0.034683716,-1.02175127,-0.014158386,-9.3689032,-1.0986336,10.5743484,3577.737264,-45994.4405,-22134.90206
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,48,0.068863403,-1.016380176,-0.031736511,4.6081576,5.6610148,2.67029,3278.665004,-43153.25403,-21088.14915
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,49,0.060562622,-1.014427051,0.020997864,-12.2680752,-0.6256108,-24.0020924,3278.665004,-41956.96499,-20639.54076
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,50,0.018082153,-1.015403613,-0.049802917,-5.2948036,-2.3803728,13.6261084,5222.634694,-41956.96499,-21835.8298
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,51,0.040543091,-1.023216113,-0.012693542,-4.3182404,-7.705694,28.7323204,1185.159184,-43751.39855,-21985.36593
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,52,0.026382935,-1.000755176,0.013185364,-8.8348452,2.1667496,2.3193376,3428.201134,-44200.00694,-18546.03494
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,53,0.048843872,-1.049583301,-0.020017761,17.4102908,25.0702084,-3.3416772,1783.303704,-43153.25403,-20639.54076
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,54,0.042984497,-1.00222002,-0.000974792,9.2010564,2.0141616,6.0119672,2381.448224,-43751.39855,-20041.39624
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,56,0.050308716,-1.014427051,0.012208801,-2.3193376,-8.8195864,15.1519884,3876.809524,-44947.68759,-20789.07689
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,57,-0.060042847,-1.012962207,-0.007322449,6.4544724,6.3171432,-10.7879716,7316.140514,-44798.15146,-18845.1072
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,58,-0.097152222,-0.99831377,-0.016111511,6.2866256,11.1236652,11.4898764,7316.140514,-43601.86242,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,59,-0.015120972,-1.001243457,0.008302551,5.0048864,3.2653832,-5.8288616,7316.140514,-43601.86242,-19592.78785
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,0,-0.040511597,-1.017356738,0.014650208,-7.1106008,-0.686646,-4.2114288,7017.068254,-43900.93468,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,1,-0.046859253,-1.012473926,-0.013670105,-1.4190684,-0.3662112,-4.3792756,6717.995994,-44349.54307,-19144.17946
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,2,-0.048812378,-1.011985645,0.011232239,-0.6256108,-0.4425052,-2.899172,7914.285034,-43452.32629,-20789.07689
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,3,-0.082503784,-1.009544238,0.01172052,-5.9356732,-4.6081576,-2.593996,7615.212774,-45994.4405,-19891.86011
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,4,-0.061019409,-0.997825488,0.012208801,-2.5787372,-2.4261492,1.3580332,8063.821164,-46293.51276,-19891.86011
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,5,-0.063460815,-0.998802051,0.044923645,-2.4871844,2.5329608,-7.476812,7166.604384,-44947.68759,-18246.96268
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,6,-0.068343628,-1.019798145,0.037111145,2.6550312,0.076294,0.534058,7017.068254,-44798.15146,-16602.06525
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,7,0.039566528,-0.991477832,0.064943176,4.5623812,-14.9078476,-31.0363992,4774.026304,-44798.15146,-18845.1072
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,8,-0.073714722,-0.987571582,-0.007322449,-11.6424644,1.9683852,6.3629196,7615.212774,-43601.86242,-18396.49881
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,9,-0.043929565,-1.004173145,0.032716614,-1.9226088,-14.0991312,14.3127544,6717.995994,-45097.22372,-21835.8298
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,11,-0.134261597,-0.977805957,0.039552551,-4.0740996,-4.425052,-1.8157972,8213.357294,-43751.39855,-18246.96268
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,12,-0.059066284,-1.016380176,0.022950989,2.2735612,10.7116776,27.236958,5222.634694,-43900.93468,-20340.4685
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,13,0.007828247,-0.988548145,-0.050291199,-3.0822776,6.713872,0.8850104,3577.737264,-44349.54307,-21387.22141
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,14,-0.178206909,-1.04518877,0.05468927,-21.3012848,18.920912,-62.1490924,8362.893424,-43900.93468,-19592.78785
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,15,0.010269653,-0.989524707,-0.044431824,4.6691928,2.5329608,22.7050944,1334.695314,-43153.25403,-19891.86011
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,16,-0.040511597,-0.956321582,0.092775208,1.4190684,5.493168,8.4228576,2530.984354,-44349.54307,-19144.17946
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,17,-0.016585815,-1.032981738,0.055665833,-11.5356528,-25.100726,-2.67029,587.0146644,-41956.96499,-18097.42655
